Year,Site,Annual Mean NO2 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
2004,Blackpool,15.2580550673697,,77.7322404371585
2005,Blackpool Marton,19.3708333333333,,52.0547945205479
2006,Blackpool Marton,18.3034807831762,,94.4520547945205
2007,Blackpool Marton,15.8785739498765,,97.0205479452055
2008,Blackpool Marton,16.4374782305817,,98.0532786885246
2009,Blackpool Marton,19.510666015307,,70.1027397260274
2010,Blackpool Marton,30.763662171753,,16.0844748858447
2011,Blackpool Marton,18.0262105117947,,82.7511415525114
2012,Blackpool Marton,20.2331383550197,,95.3665755919854
2013,Blackpool Marton,16.3256796215637,,95.9246575342466
2014,Blackpool Marton,16.1832755959525,,97.0205479452055
2015,Blackpool Marton,15.6066976135683,,95.2397260273973
2016,Blackpool Marton,16.0785465324675,,96.4253187613843
2017,Blackpool Marton,12.684663811263,,96.8949771689498
2018,Blackpool Marton,12.4633863569412,,93.0022831050228
2019,Blackpool Marton,12.1954601611911,,92.7739726027397
1997,Bolton,36.2029963557835,,84.5776255707762
1998,Bolton,34.8413426708524,,94.5433789954338
1999,Bolton,32.1650508967523,,94.2009132420091
2000,Bolton,29.1197934999413,,97.0286885245902
2001,Bolton,35.4650128715188,,97.5570776255708
2002,Bolton,34.7363467348362,,98.2420091324201
2003,Bolton,35.5093899451767,,97.865296803653
2004,Bolton,28.6758162031439,,94.1484517304189
2005,Bolton,25.2825581395349,,58.9041095890411
2006,Bolton,23.4517491972283,,67.5456621004566
2007,Bolton,NA,,0
2008,Bolton,22.8175182481752,,28.0737704918033
2001,Bournemouth,16.8230294950842,,68.5045662100457
2002,Bournemouth,16.9137628478315,,91.0730593607306
2003,Bournemouth,22.052295605205,,92.9908675799087
2004,Bournemouth,18.6536735175998,,96.379781420765
2005,Bournemouth,18.0414651837524,,94.4292237442922
2006,Bournemouth,17.1461321564301,,93.1164383561644
2007,Bournemouth,15.7260991353063,,93.7328767123288
2008,Bournemouth,15.2048306890836,,96.1520947176685
2009,Bournemouth,16.5971966911765,,99.3607305936073
2010,Bournemouth,17.7836748791158,,99.1552511415525
2011,Bournemouth,15.3905289052891,,92.8082191780822
2012,Bournemouth,15.5484726224784,,98.7591074681239
2013,Bournemouth,14.4955046072089,,98.8127853881278
2014,Bournemouth,13.224394654531,,85.9132420091324
2015,Bournemouth,12.2191196644373,,98.9954337899543
2016,Bournemouth,13.9303618043707,,97.4157559198543
2017,Bournemouth,12.6940690274967,,95.9018264840183
2018,Bournemouth,11.4589542117144,,96.0844748858448
2019,Bournemouth,11.5091036371997,,99.3036529680365
2018,Burton-on-Trent Horninglow,18.9268685295224,,91.0616438356164
2019,Burton-on-Trent Horninglow,18.2818370112542,,98.3904109589041
1997,Bradford Centre,43.8573573573574,,7.6027397260274
1998,Bradford Centre,41.7421383647799,,96.1986301369863
1999,Bradford Centre,39.2226410649075,,96.9063926940639
2000,Bradford Centre,38.2767667218152,,96.3342440801457
2001,Bradford Centre,43.9748578648136,,90.3538812785388
2002,Bradford Centre,36.6400047119802,,96.9063926940639
2003,Bradford Centre,37.4910953891193,,93.5844748858448
2004,Bradford Centre,30.984792681478,,95.8219489981785
2005,Bradford Centre,29.1093608779858,,88.4132420091324
2006,Bradford Centre,31.9142267039242,,93.9611872146119
2007,Bradford Centre,21.7610585281051,,59.0981735159817
1996,London Brent,41.1291233474522,,88.6953551912568
1997,London Brent,39.757243638196,,90.6164383561644
1998,London Brent,34.3088410991637,,95.5479452054795
1999,London Brent,37.0632926119837,,98.1164383561644
2000,London Brent,35.6972060535506,,97.7914389799636
2001,London Brent,36.4690470074493,,88.8812785388128
2002,London Brent,29.089505456234,,98.3333333333333
2003,London Brent,34.081262753571,,95.1027397260274
2004,London Brent,29.462356178089,,91.0291438979964
2005,London Brent,32.7191789608724,,88.9840182648402
2006,London Brent,30.2966534975598,,98.2420091324201
2007,London Brent,25.6014843497903,,70.7534246575343
1990,London Bridge Place,71.2242142025611,,49.0296803652968
1991,London Bridge Place,81.2402777777778,,98.6301369863014
1992,London Bridge Place,73.9130935915168,,98.7704918032787
1993,London Bridge Place,64.6210599237963,,98.8698630136986
1994,London Bridge Place,64.7907542579075,,98.527397260274
1995,London Bridge Place,64.0135437522082,,96.9292237442922
1996,London Bridge Place,63.682119205298,,97.9849726775956
1997,London Bridge Place,59.6879390403619,,95.87899543379
1998,London Bridge Place,57.6367132867133,,97.9452054794521
1999,London Bridge Place,62.7959968186638,,86.1187214611872
1993,Bristol Centre,49.2927891595419,,70.7648401826484
1994,Bristol Centre,45.043621399177,,97.0890410958904
1995,Bristol Centre,48.0138265185535,,96.5981735159817
1996,Bristol Centre,47.1818075254953,,97.1197632058288
1997,Bristol Centre,44.3487923946557,,88.8584474885845
1998,Bristol Centre,40.6347633480998,,97.9223744292238
1999,Bristol Centre,37.26261427045,,96.1529680365297
2000,Bristol Centre,38.1919733238061,,95.594262295082
2001,Bristol Centre,38.0983062892337,,96.3812785388128
2002,Bristol Centre,36.8009049773756,,95.8675799086758
2003,Bristol Centre,36.4651011089367,,87.5
2004,Bristol Centre,34.6989399293286,,96.6530054644809
2005,Bristol Centre,34.0992188798404,,68.6872146118722
2006,Bristol St Paul's,31.0068273949221,,53.5045662100457
2007,Bristol St Paul's,31.3197203826343,,93.0821917808219
2008,Bristol St Paul's,32.4880966072455,,98.9867941712204
2009,Bristol St Paul's,30.3061368445803,,97.1004566210046
2010,Bristol St Paul's,31.6903862556354,,93.6872146118722
2011,Bristol St Paul's,27.1589612204495,,98.0251141552511
2012,Bristol St Paul's,31.5137942975874,,98.6224954462659
2013,Bristol St Paul's,27.9747696145833,,98.6301369863014
2014,Bristol St Paul's,28.1722916411379,,93.9041095890411
2015,Bristol St Paul's,26.2713156647399,,92.8196347031963
2016,Bristol St Paul's,27.3676749413119,,98.9298724954463
2017,Bristol St Paul's,23.6889858012451,,99.0182648401827
2018,Bristol St Paul's,23.8361077732408,,83.8698630136986
2019,Bristol St Paul's,23.3525234311754,,85.1712328767123
2004,Brighton Preston Park,30.7214182344428,,15.7331511839709
2005,Brighton Preston Park,22.12302951286,,96.3127853881278
2006,Brighton Preston Park,20.8227568572757,,98.2191780821918
2007,Brighton Preston Park,21.7687677053824,,96.7123287671233
2008,Brighton Preston Park,19.7003580917177,,98.554189435337
2009,Brighton Preston Park,18.9619697144839,,98.7557077625571
2010,Brighton Preston Park,21.7151979565773,,89.3835616438356
2011,Brighton Preston Park,16.9084757834758,,64.1095890410959
2012,Brighton Preston Park,16.0752873563218,,99.0437158469945
2013,Brighton Preston Park,16.7326765099353,,98.8127853881278
2014,Brighton Preston Park,15.3141410796501,,99.1780821917808
2015,Brighton Preston Park,14.621608561318,,98.3904109589041
2016,Brighton Preston Park,17.1677066350954,,88.945810564663
2017,Brighton Preston Park,16.986217033632,,98.0936073059361
2018,Brighton Preston Park,16.3428669938933,,99.0753424657534
2019,Brighton Preston Park,15.2419659851169,,96.6438356164384
2001,Canterbury,19.541808122721,,90.7876712328767
2002,Canterbury,18.3856794141579,,98.2077625570776
2003,Canterbury,21.9165129151292,,98.9954337899543
2004,Canterbury,18.2832315641146,,96.9489981785064
2005,Canterbury,17.0994977278163,,95.4566210045662
2006,Canterbury,17.7423585899988,,97.4771689497717
2007,Canterbury,17.7164954403786,,98.8926940639269
2008,Canterbury,16.8342502633735,,97.2563752276867
2009,Canterbury,15.7489052921306,,91.2442922374429
2010,Canterbury,18.2253342554172,,99.041095890411
2011,Canterbury,15.2784733927281,,94.8173515981735
2012,Canterbury,14.9772282076396,,92.9872495446266
2013,Canterbury,14.5414954811765,,97.0319634703196
2014,Canterbury,12.1182877118156,,99.0296803652968
2015,Canterbury,11.0386295828492,,98.2420091324201
2016,Canterbury,14.3184968801939,,98.6338797814208
2017,Canterbury,14.9000111495845,,98.9041095890411
2018,Canterbury,11.9942331648842,,97.134703196347
2019,Canterbury,12.1046596828875,,98.9954337899543
1992,Cardiff Centre,47.1424917793204,,62.3178506375228
1993,Cardiff Centre,43.2143372624489,,94.9086757990868
1994,Cardiff Centre,41.9106909263884,,95.9931506849315
1995,Cardiff Centre,41.2238350817273,,93.5844748858448
1996,Cardiff Centre,40.3563120911073,,93.9663023679417
1997,Cardiff Centre,39.0315814563223,,95.7876712328767
1998,Cardiff Centre,39.2505243532976,,97.9680365296804
1999,Cardiff Centre,32.6849759615385,,94.9771689497717
2000,Cardiff Centre,29.6166197843413,,97.1311475409836
2001,Cardiff Centre,33.4327170319579,,93.2305936073059
2002,Cardiff Centre,32.8168262819736,,94.1666666666667
2003,Cardiff Centre,34.5336118000261,,87.4543378995434
2004,Cardiff Centre,30.2380896777207,,97.4954462659381
2005,Cardiff Centre,35.4265422077922,,56.2557077625571
2006,Cardiff Centre,30.679948283968,,97.1232876712329
2007,Cardiff Centre,31.4877368359874,,98.2077625570776
2008,Cardiff Centre,29.008080341683,,98.6224954462659
2009,Cardiff Centre,31.0693702068324,,98.2420091324201
2010,Cardiff Centre,32.8543933054393,,95.4908675799087
2011,Cardiff Centre,27.2251258690961,,95.2283105022831
2012,Cardiff Centre,27.0954585262104,,90.9949908925319
2013,Cardiff Centre,25.9011592964944,,96.0616438356164
2014,Cardiff Centre,24.7987783300222,,97.6826484018265
2015,Cardiff Centre,26.7772415358117,,79.5319634703196
2016,Cardiff Centre,23.2874040453225,,97.962204007286
2017,Cardiff Centre,20.2435673930589,,99.0068493150685
2018,Cardiff Centre,18.2379731106472,,71.0844748858448
2019,Cardiff Centre,21.5683155385177,,62.5342465753425
2015,Chesterfield Loundsley Green,14.4005747470342,,65.4337899543379
2016,Chesterfield Loundsley Green,16.7165095011914,,71.6643897996357
2017,Chesterfield Loundsley Green,14.3727801885993,,53.8698630136986
2018,Chesterfield Loundsley Green,12.1709633511831,,91.6666666666667
2019,Chesterfield Loundsley Green,12.3829978058206,,94.5319634703196
2008,Chesterfield,17.8185058896466,,73.4517304189435
2009,Chesterfield,19.031377245509,,95.3196347031963
2010,Chesterfield,19.593307432009,,91.0844748858448
2011,Chesterfield,14.9427854753942,,95.5707762557078
2012,Chesterfield,18.2166842166842,,97.301912568306
2013,Chesterfield,18.1995684357474,,93.6301369863014
2014,Chesterfield,29.2863980760024,,38.1506849315069
1990,Central London,66.6004447739066,,61.5981735159817
1992,London Bloomsbury,65.8547778100494,,78.3925318761384
1993,London Bloomsbury,64.940703762328,,93.7557077625571
1994,London Bloomsbury,64.5214285714286,,95.8904109589041
1995,London Bloomsbury,67.4930836087648,,93.2534246575343
1996,London Bloomsbury,69.1197718631179,,95.8105646630237
1997,London Bloomsbury,70.4726409495549,,96.175799086758
1998,London Bloomsbury,65.2662095513052,,94.8972602739726
1999,London Bloomsbury,66.7981185790321,,92.2260273972603
2000,London Bloomsbury,59.0411234889784,,96.0610200364299
2001,London Bloomsbury,51.0803676953381,,86.9292237442922
2002,London Bloomsbury,42.4090354090354,,9.34931506849315
2003,London Bloomsbury,56.3997980817769,,67.8424657534247
2004,London Bloomsbury,58.4862813776999,,97.5068306010929
2005,London Bloomsbury,57.2022157292428,,93.7671232876712
2006,London Bloomsbury,56.8323954000489,,93.310502283105
2007,London Bloomsbury,61.2160547785548,,78.3561643835616
2008,London Bloomsbury,55.4415748393021,,99.1803278688525
2009,London Bloomsbury,54.4453859547301,,98.3447488584475
2010,London Bloomsbury,58.4924338685457,,98.824200913242
2011,London Bloomsbury,50.0526377628951,,97.1575342465753
2012,London Bloomsbury,55.2955676988464,,93.75
2013,London Bloomsbury,51.3299748811594,,98.458904109589
2014,London Bloomsbury,51.5964145383285,,99.0296803652968
2015,London Bloomsbury,48.2490168594275,,98.5045662100457
2016,London Bloomsbury,40.8520733240256,,97.8483606557377
2017,London Bloomsbury,37.6989597001274,,98.5958904109589
2018,London Bloomsbury,36.3894064355062,,98.7671232876712
2019,London Bloomsbury,31.5028675186916,,97.7168949771689
2014,Coventry Allesley,21.6079006496906,,47.9680365296804
2015,Coventry Allesley,22.7924069192618,,98.972602739726
2016,Coventry Allesley,22.5593768140069,,99.1575591985428
2017,Coventry Allesley,21.8808563597106,,97.8082191780822
2018,Coventry Allesley,20.4054677781694,,97.1575342465753
2019,Coventry Allesley,20.4444158768807,,99.3949771689498
2019,Crewe Coppenhall,20.401505160221,,20.662100456621
1997,Coventry Centre,22.0884974093264,,55.0799086757991
1998,Coventry Centre,29.9821473158552,,91.4383561643836
1999,Coventry Centre,28.620189061445,,33.8127853881279
2000,Coventry Centre,19.6878803245436,,44.8998178506375
2001,Cwmbran,17.6332531408714,,42.7054794520548
2002,Cwmbran,20.4318009598383,,90.3881278538813
2003,Cwmbran,18.7045040354074,,87.6940639269406
2004,Cwmbran,16.5801168251059,,99.3966302367942
2005,Cwmbran,16.7596319723979,,99.2579908675799
2006,Cwmbran,13.8346475507766,,95.5479452054795
2007,Cwmbran,13.9590027700831,,82.4200913242009
2008,Cwmbran,14.0229736706247,,88.2058287795993
2009,Cwmbran,14.1197253433208,,91.4383561643836
2010,Cwmbran,16.0110465116279,,98.1735159817352
2011,Cwmbran,13.0966662821548,,98.9611872146119
2012,Cwmbran,13.5598942688934,,94.7518214936248
2013,Cwmbran,13.3312507995405,,99.3721461187215
2014,Cwmbran,12.4862404322268,,99.041095890411
2015,Cwmbran,11.8824328294307,,99.4520547945205
2016,Cwmbran,13.1322510989011,,99.4535519125683
2017,Cwmbran,12.1367206709114,,96.8150684931507
2018,Cwmbran,12.6671207424434,,99.3264840182648
2019,Cwmbran,11.909333238806,,99.4292237442922
2017,Dundee Mains Loan,14.6111515038973,,24.8972602739726
2018,Dundee Mains Loan,12.3209068498306,,90.9931506849315
2019,Dundee Mains Loan,11.0111018509701,,95.9018264840183
2016,Derry Rosemount,10.4342158912159,,75.5578324225865
2017,Derry Rosemount,8.38760158492754,,98.458904109589
2018,Derry Rosemount,9.63793123230448,,98.37899543379
2019,Derry Rosemount,10.608239129677,,98.2420091324201
1997,Derry,21.5713636363636,,25.1141552511416
1998,Derry,13.3778359511344,,78.4931506849315
1999,Derry,15.5563315324812,,86.6324200913242
2000,Derry,14.7941141709018,,96.3228597449909
2001,Derry,15.7092521867685,,92.6598173515982
2002,Derry,15.3306412729026,,94.703196347032
2003,Derry,16.8182579564489,,95.4109589041096
2004,Derry,14.8665264720435,,92.0309653916211
2005,Derry,12.1461719816354,,91.9977168949772
2006,Derry,12.1507967353284,,88.1164383561644
2007,Derry,12.6081616988615,,89.2351598173516
2008,Derry,18.4641080312722,,96.1065573770492
2009,Derry,15.788433671453,,86.6552511415525
2010,Derry,19.1966156325544,,99.1666666666667
2011,Derry,15.5671418716946,,99.2922374429224
2012,Derry,15.0379500114653,,99.2941712204007
2013,Derry,14.0518410338324,,96.837899543379
2014,Derry,14.4479028654292,,98.4018264840183
2015,Derry,15.8768417534329,,75.6506849315068
2016,Derry,19.2548156585366,,16.3365209471767
2018,Dewsbury Ashworth Grove,27.1839476673945,,31.3698630136986
2019,Dewsbury Ashworth Grove,31.0442160938116,,28.9611872146119
2010,Eastbourne,NA,,0
2011,Eastbourne,14.0098881082488,,43.8698630136986
2012,Eastbourne,13.3380314775664,,96.9262295081967
2013,Eastbourne,12.3971688974855,,94.4292237442922
2014,Eastbourne,12.1196054592917,,80.9018264840183
2015,Eastbourne,10.5879942838978,,98.7557077625571
2016,Eastbourne,12.2517551719001,,99.33970856102
2017,Eastbourne,12.3374575749914,,99.3264840182648
2018,Eastbourne,10.9713544439834,,55.0228310502283
2019,Eastbourne,11.452327895466,,90.6392694063927
1997,Salford Eccles,43.2373296050332,,65.3196347031963
1998,Salford Eccles,41.7386431381901,,95.7420091324201
1999,Salford Eccles,42.557646780303,,96.4383561643836
2000,Salford Eccles,37.0573943661972,,96.9945355191257
2001,Salford Eccles,41.3380862597219,,96.8721461187215
2002,Salford Eccles,37.6110134739309,,97.4315068493151
2003,Salford Eccles,39.6383029153828,,96.324200913242
2004,Salford Eccles,34.2510945450243,,96.2090163934426
2005,Salford Eccles,38.5920384351407,,83.162100456621
2006,Salford Eccles,34.5488410596027,,96.5296803652968
2007,Salford Eccles,34.0701380175659,,90.9817351598173
2008,Salford Eccles,35.61008382643,,92.3497267759563
2009,Salford Eccles,39.2753623188406,,65.3767123287671
2010,Salford Eccles,41.9250066365808,,86.0045662100457
2011,Salford Eccles,32.7821494586744,,86.4611872146119
2012,Salford Eccles,27.8472471190781,,88.9116575591985
2013,Salford Eccles,29.9473688476679,,95.6963470319635
2014,Salford Eccles,29.5730781156985,,95.1141552511416
2015,Salford Eccles,27.0403025818815,,98.2876712328767
2016,Salford Eccles,28.8187731596439,,95.9130236794171
2017,Salford Eccles,26.1810492873263,,96.1073059360731
2018,Salford Eccles,24.7471450075188,,98.6872146118722
2019,Salford Eccles,25.4761923443008,,97.1461187214612
1992,Edinburgh Centre,53.0797169811321,,24.1347905282332
1993,Edinburgh Centre,50.9757211538462,,94.9771689497717
1994,Edinburgh Centre,50.4973211096559,,95.87899543379
1995,Edinburgh Centre,49.5660260384377,,92.0662100456621
1996,Edinburgh Centre,46.885555028463,,95.9927140255009
1997,Edinburgh Centre,48.5032521362071,,89.5091324200913
1998,Edinburgh Centre,47.314658210007,,97.1917808219178
1999,Edinburgh Centre,42.150042625746,,93.7328767123288
2000,Edinburgh Centre,44.6959605674441,,94.6948998178506
2001,Edinburgh Centre,43.3270131086142,,97.5342465753425
2002,Edinburgh Centre,47.5406158747014,,86.0045662100457
2003,Edinburgh Centre,49.7652781242205,,45.7648401826484
2003,Edinburgh St Leonards,34.4564498346196,,10.3538812785388
2004,Edinburgh St Leonards,25.0342628485682,,91.0405282331512
2005,Edinburgh St Leonards,24.7816474503744,,96.0388127853881
2006,Edinburgh St Leonards,26.5003042472922,,93.8013698630137
2007,Edinburgh St Leonards,27.1922489724016,,97.203196347032
2008,Edinburgh St Leonards,30.8748660554828,,95.6170309653916
2009,Edinburgh St Leonards,24.4647788439036,,97.5570776255708
2010,Edinburgh St Leonards,31.1321039202041,,98.4246575342466
2011,Edinburgh St Leonards,24.8188464662876,,98.3675799086758
2012,Edinburgh St Leonards,24.0849688293697,,98.6111111111111
2013,Edinburgh St Leonards,22.1654511306851,,99.1438356164384
2014,Edinburgh St Leonards,18.5808563084272,,66.9178082191781
2015,Edinburgh St Leonards,NA,,0
2016,Edinburgh St Leonards,20.1223716522047,,64.2873406193078
2017,Edinburgh St Leonards,19.7847420307367,,97.3059360730594
2018,Edinburgh St Leonards,17.9085113011679,,96.7694063926941
